WCVP_id;accepted_binomial;authority;EUNIS_name;original_name;family;order;APG_clade
2896568;Lysimachia arvensis;(L.) U.Manns & Anderb.;Anagallis arvensis;Anagallis arvensis;Primulaceae;Ericales;asterids
2564807;Primula farinosa;L.;Primula farinosa;Primula farinosa;Primulaceae;Ericales;asterids
2563733;Primula veris;L.;Primula veris;Primula veris;Primulaceae;Ericales;asterids
2636165;Anagyris foetida;L.;Anagyris foetida;Anagyris foetida;Fabaceae;Fabales;rosids
2642105;Anthyllis vulneraria;L.;Anthyllis vulneraria;Anthyllis vulneraria;Fabaceae;Fabales;rosids
2650910;Argyrolobium zanonii;(Turra) P.W.Ball;Argyrolobium zanonii;Argyrolobium zanonii;Fabaceae;Fabales;rosids
2676873;Bituminaria bituminosa;(L.) C.H.Stirt.;Bituminaria bituminosa;Bituminaria bituminosa;Fabaceae;Fabales;rosids
2676873;Bituminaria bituminosa;(L.) C.H.Stirt.;Bituminaria bituminosa;Psoralea bituminosa;Fabaceae;Fabales;rosids
2691866;Calicotome villosa;(Poir.) Link;Calicotome villosa;Calicotome villosa;Fabaceae;Fabales;rosids
2737979;Coronilla minima;L.;Coronilla minima;Coronilla minima;Fabaceae;Fabales;rosids
2754907;Cytisus scoparius;(L.) Link;Cytisus scoparius;Cytisus scoparius;Fabaceae;Fabales;rosids
2754935;Cytisus striatus;(Hill) Rothm.;Cytisus striatus;Cytisus striatus;Fabaceae;Fabales;rosids
2819225;Genista florida;L.;Genista florida;Genista florida;Fabaceae;Fabales;rosids
2819567;Genista scorpius;(L.) DC.;Genista scorpius;Genista scorpius;Fabaceae;Fabales;rosids
2345329;Lotus corniculatus;L.;Lotus corniculatus;Lotus corniculatus;Fabaceae;Fabales;rosids
3013715;Lotus corniculatus;L.;Lotus stenodon;Lotus corniculatus;Fabaceae;Fabales;rosids
2345484;Lotus creticus;L.;Lotus creticus;Lotus creticus;Fabaceae;Fabales;rosids
2345470;Lotus dorycnium;L.;Dorycnium pentaphyllum;Dorycnium pentaphyllum;Fabaceae;Fabales;rosids
2368445;Medicago littoralis;Rohde ex Loisel.;Medicago littoralis;Medicago littoralis;Fabaceae;Fabales;rosids
2368456;Medicago marina;L.;Medicago marina;Medicago marina;Fabaceae;Fabales;rosids
2369061;Medicago polymorpha;L.;Medicago polymorpha;Medicago polymorpha;Fabaceae;Fabales;rosids
2368624;Medicago sativa;L.;Medicago falcata;Medicago sativa;Fabaceae;Fabales;rosids
2388846;Onobrychis viciifolia;Scop.;Onobrychis montana;Onobrychis viciifolia;Fabaceae;Fabales;rosids
2389385;Ononis minutissima;L.;Ononis minutissima;Ononis minutissima;Fabaceae;Fabales;rosids
2389313;Ononis natrix;L.;Ononis natrix;Ononis natrix;Fabaceae;Fabales;rosids
2389441;Ononis variegata;L.;Ononis variegata;Ononis variegata;Fabaceae;Fabales;rosids
